Page,Content,Title,Category1,Category2
ef5936ab9e282a435da19ec55167ee2b5c86cec17e724fd88b2b169b1997d2bc,"Пример Вопроса:
 Что нельзя публиковать на RUTUBE? 
Пример ответа: 
 Чужой контент без разрешения автора или правообладателя. Например, музыку, видео и изображения из общего доступа, записи концертов, фильмов, аудиокниги, фрагменты новостных сюжетов из ТВ-эфиров, видео популярных блогеров, трансляции спортивных событий.
Рекламу трансцендентных услуг. Например, рекламу гаданий, услуг ясновидящих, экстрасенсов и т. д.
Откровенно сексуальный контент. Например, танцы в откровенных костюмах, рекламу интим-товаров или сексуальных услуг. 
Рекламу букмекеров, проведение ставок и пропаганду любых азартных игр. 
Рекламу или продвижение финансовых пирамид и сетевого маркетинга (MLM), преподнесение их в качестве надёжного источника заработка.  
Нецензурную брань, оскорбления, подстрекательства к незаконным действиям. 
Контент, который нацелен только на перенаправление зрителей на другие сайты. 
Контент иностранных агентов или о них без специальной маркировки.
Больше информации есть по ссылкам: 

https://rutube.ru/info/taboo_agreement/
https://rutube.ru/info/socially_important/
https://rutube.ru/info/adverguide/
https://rutube.ru/info/content/","Чужой контент без разрешения автора или правообладателя. Например, музыку, видео и изображения из общего доступа, записи концертов, фильмов, аудиокниги, фрагменты новостных сюжетов из ТВ-эфиров, видео популярных блогеров, трансляции спортивных событий.
Рекламу трансцендентных услуг. Например, рекламу гаданий, услуг ясновидящих, экстрасенсов и т. д.
Откровенно сексуальный контент. Например, танцы в откровенных костюмах, рекламу интим-товаров или сексуальных услуг. 
Рекламу букмекеров, проведение ставок и пропаганду любых азартных игр. 
Рекламу или продвижение финансовых пирамид и сетевого маркетинга (MLM), преподнесение их в качестве надёжного источника заработка.  
Нецензурную брань, оскорбления, подстрекательства к незаконным действиям. 
Контент, который нацелен только на перенаправление зрителей на другие сайты. 
Контент иностранных агентов или о них без специальной маркировки.
Больше информации есть по ссылкам: 

https://rutube.ru/info/taboo_agreement/
https://rutube.ru/info/socially_important/
https://rutube.ru/info/adverguide/
https://rutube.ru/info/content/",МОДЕРАЦИЯ,Отклонение/блокировка видео
dc9689f93e855c78cd512ffabf59bd9a8d72ec8e9c8b4d24b94c709a7a97665d,"Пример Вопроса:
 Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать? 
Пример ответа: 
 Монетизация может отключиться, если на вашем канале есть музыка, видео или изображения из общего доступа, книги и учебники, цитаты молитв, права на которые вам не принадлежат. 
Авторским правом охраняются все произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. 
Помните: то, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.  
Для монетизации можно использовать: То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали.
Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. 
Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.
Иногда можно использовать короткие фрагменты и цитаты чужих произведений, указывая автора и источник, но размер этого фрагмента должен быть оправдан целью вашего видео. Например, строчка из новостей в глобальной аналитике прессы, часть песни в разборе вокальных приёмов и подобное. 
Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, предоставьте документы от его правообладателя — например:  Лицензионный договор.  Договор об отчуждении исключительного права. Разрешительное или гарантийное письмо от правообладателя и т. п.
Подробнее об авторском праве: https://rutube.ru/info/authors/","Монетизация может отключиться, если на вашем канале есть музыка, видео или изображения из общего доступа, книги и учебники, цитаты молитв, права на которые вам не принадлежат. 
Авторским правом охраняются все произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. 
Помните: то, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.  
Для монетизации можно использовать: То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали.
Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. 
Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.
Иногда можно использовать короткие фрагменты и цитаты чужих произведений, указывая автора и источник, но размер этого фрагмента должен быть оправдан целью вашего видео. Например, строчка из новостей в глобальной аналитике прессы, часть песни в разборе вокальных приёмов и подобное. 
Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, предоставьте документы от его правообладателя — например:  Лицензионный договор.  Договор об отчуждении исключительного права. Разрешительное или гарантийное письмо от правообладателя и т. п.
Подробнее об авторском праве: https://rutube.ru/info/authors/",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
eb79b314a59e45055b03c1e3e373b33d6e681b0e2172d403a39c8b633198928b,"Пример Вопроса:
 Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать?  
Пример ответа: 
 Монетизация на RUTUBE зависит в том числе от количества просмотров и приостановок видеопотока. Алгоритмы платформы очень внимательно следят за статистикой и понимают, когда показатели завышены искусственно. Это нарушает п. 2.3.17 оферты: https://rutube.ru/info/adv_oferta/ и п. 1.33 приложения № 1 к оферте: https://rutube.ru/info/adv_oferta_glossary/ и может быть причиной отключения монетизации.  Не завышайте показатели искусственно, соблюдайте правила и зарабатывайте на RUTUBE честным способом. Подробнее о правилах Пользовательского соглашения: https://rutube.ru/info/agreement/","Монетизация на RUTUBE зависит в том числе от количества просмотров и приостановок видеопотока. Алгоритмы платформы очень внимательно следят за статистикой и понимают, когда показатели завышены искусственно. Это нарушает п. 2.3.17 оферты: https://rutube.ru/info/adv_oferta/ и п. 1.33 приложения № 1 к оферте: https://rutube.ru/info/adv_oferta_glossary/ и может быть причиной отключения монетизации.  Не завышайте показатели искусственно, соблюдайте правила и зарабатывайте на RUTUBE честным способом. Подробнее о правилах Пользовательского соглашения: https://rutube.ru/info/agreement/",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
734410b3a68a5668e0d3d7c628a1dd923a61fa524ec8e1b22d5785a5785c14e1,"Пример Вопроса:
 Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать? 
Пример ответа: 
 Монетизацию на RUTUBE можно подключить, если вы самозанятый, ИП или юрлицо. 
Лимит дохода самозанятых — 2,4 млн ₽ в год. Если его превысить, статус автоматически теряется, а монетизация отключится. Чтобы вернуть монетизацию, перейдите в другой юридический статус с новым налоговым режимом и подайте новую заявку. ","Монетизацию на RUTUBE можно подключить, если вы самозанятый, ИП или юрлицо. 
Лимит дохода самозанятых — 2,4 млн ₽ в год. Если его превысить, статус автоматически теряется, а монетизация отключится. Чтобы вернуть монетизацию, перейдите в другой юридический статус с новым налоговым режимом и подайте новую заявку. ",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
f68067c2a4a317a3a6506080f3b113ea8f79a308c9cc350150117a0c76768860,"Пример Вопроса:
 Какой контент можно использовать для монетизации, то есть в коммерческих целях? 
Пример ответа: 
 То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.","То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
ba756b0ecab3a5da6d4411a7b5409778979552f0593b59dd8416028a127971b3,"Пример Вопроса:
 Какие материалы защищены авторским правом? 
Пример ответа: 
 Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ","Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
b104c914bfa383e77a9ba67a789fb15e278b199d984b53cf023d85d0eaa99073,"Пример Вопроса:
 Как подтвердить права на использование контента для монетизации? 
Пример ответа: 
 Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п.","Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п.",МОНЕТИЗАЦИЯ,Отключение/подключение монетизации
10af3018a977a6ac89c39b6d69cae68496165d01b7da4f723a03af3d587134dc,"Пример Вопроса:
 Кому принадлежат авторские права на контент, который я размещаю на платформе? 
Пример ответа: 
 По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ","По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. ",МОДЕРАЦИЯ,Отклонение/блокировка видео
d22615f518536450782a4ac350c181becbe9a4d30421ee9f7bc1a691fc18708b,"Пример Вопроса:
 Можно ли цитировать чужие произведения? 
Пример ответа: 
 Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.","Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео.",МОДЕРАЦИЯ,Отклонение/блокировка видео
a56661e4fcf4f3e161a2f61751df15a7537ef1f48fdd8c92a200c891d2d459bb,"Пример Вопроса:
 Могу ли я использовать небольшие фрагменты фильмов для создания своих видео? 
Пример ответа: 
 Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью.","Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью.",МОДЕРАЦИЯ,Отклонение/блокировка видео
